NASA Surface meteorology and Solar Energy: Global Data
Monthly Averaged Insolation Clearness Index (0 to 1.0)

Monthly average for July 1983 - June 1993

Lat Lon Jan Feb Mar Apr May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
0 59 0.58 0.63 0.65 0.65 0.58 0.54 0.52 0.51 0.62 0.64 0.63 0.60
0 60 0.58 0.63 0.64 0.64 0.58 0.54 0.52 0.50 0.62 0.63 0.63 0.59
0 61 0.58 0.62 0.64 0.63 0.57 0.53 0.52 0.50 0.61 0.62 0.63 0.59
0 62 0.58 0.62 0.64 0.63 0.57 0.54 0.52 0.50 0.60 0.60 0.62 0.58
0 63 0.58 0.62 0.63 0.62 0.57 0.54 0.52 0.50 0.60 0.59 0.62 0.58
0 64 0.57 0.61 0.62 0.62 0.57 0.55 0.52 0.50 0.59 0.57 0.61 0.57
0 65 0.57 0.61 0.62 0.61 0.56 0.55 0.52 0.49 0.58 0.56 0.60 0.57
0 66 0.57 0.62 0.61 0.61 0.56 0.55 0.52 0.49 0.56 0.55 0.60 0.56
0 67 0.56 0.62 0.61 0.61 0.56 0.56 0.52 0.49 0.56 0.54 0.59 0.55
0 68 0.56 0.62 0.61 0.60 0.56 0.56 0.53 0.50 0.55 0.53 0.59 0.54
0 69 0.55 0.61 0.61 0.59 0.55 0.56 0.53 0.50 0.54 0.53 0.58 0.53
0 70 0.55 0.61 0.61 0.59 0.55 0.56 0.53 0.50 0.53 0.52 0.58 0.52
0 71 0.55 0.61 0.61 0.58 0.55 0.56 0.54 0.50 0.52 0.51 0.57 0.51
0 72 0.54 0.60 0.60 0.57 0.55 0.56 0.54 0.50 0.51 0.51 0.57 0.51
0 73 0.53 0.60 0.59 0.57 0.55 0.56 0.53 0.50 0.50 0.50 0.57 0.51
0 74 0.53 0.59 0.59 0.56 0.55 0.56 0.53 0.50 0.49 0.50 0.57 0.51
0 75 0.53 0.59 0.58 0.56 0.55 0.56 0.53 0.50 0.49 0.51 0.57 0.52
0 76 0.53 0.59 0.58 0.55 0.55 0.56 0.53 0.50 0.48 0.52 0.57 0.53
0 77 0.52 0.59 0.58 0.55 0.55 0.56 0.53 0.50 0.49 0.52 0.57 0.54
0 78 0.52 0.59 0.58 0.55 0.55 0.56 0.52 0.49 0.49 0.52 0.57 0.54
0 79 0.51 0.59 0.58 0.54 0.54 0.56 0.52 0.49 0.49 0.52 0.56 0.54
0 80 0.51 0.59 0.57 0.54 0.54 0.56 0.52 0.49 0.49 0.52 0.55 0.53
0 81 0.50 0.59 0.57 0.54 0.54 0.56 0.52 0.48 0.49 0.52 0.55 0.53
0 82 0.50 0.59 0.56 0.53 0.53 0.55 0.52 0.49 0.49 0.52 0.54 0.52
0 83 0.49 0.58 0.56 0.53 0.53 0.55 0.52 0.49 0.48 0.52 0.54 0.52
0 84 0.49 0.58 0.56 0.53 0.53 0.55 0.51 0.48 0.48 0.51 0.53 0.52
0 85 0.48 0.58 0.55 0.53 0.53 0.54 0.51 0.48 0.47 0.51 0.53 0.52
0 86 0.48 0.58 0.54 0.54 0.53 0.54 0.50 0.48 0.47 0.50 0.52 0.52
0 87 0.48 0.57 0.54 0.54 0.53 0.54 0.50 0.48 0.46 0.49 0.51 0.52
0 88 0.48 0.57 0.53 0.53 0.52 0.53 0.49 0.48 0.46 0.48 0.51 0.52
0 89 0.48 0.57 0.52 0.53 0.52 0.53 0.49 0.48 0.45 0.48 0.50 0.52
0 90 0.49 0.56 0.52 0.53 0.51 0.53 0.48 0.48 0.44 0.47 0.49 0.52
0 91 0.49 0.56 0.51 0.53 0.51 0.53 0.48 0.47 0.43 0.46 0.48 0.51
0 92 0.49 0.55 0.50 0.52 0.51 0.53 0.48 0.47 0.42 0.45 0.47 0.50
0 93 0.49 0.54 0.49 0.51 0.51 0.52 0.48 0.46 0.42 0.44 0.46 0.49
0 94 0.49 0.53 0.48 0.50 0.51 0.52 0.48 0.46 0.41 0.44 0.45 0.48
0 95 0.48 0.52 0.46 0.48 0.51 0.53 0.48 0.46 0.41 0.43 0.44 0.47
0 96 0.48 0.51 0.45 0.48 0.51 0.53 0.48 0.45 0.41 0.43 0.43 0.46
0 97 0.48 0.50 0.45 0.48 0.51 0.53 0.49 0.46 0.42 0.43 0.44 0.46
0 98 0.48 0.50 0.45 0.48 0.50 0.53 0.50 0.47 0.43 0.44 0.44 0.46
0 99 0.46 0.49 0.45 0.48 0.50 0.52 0.50 0.47 0.44 0.45 0.44 0.45
0 100 0.45 0.49 0.46 0.49 0.50 0.52 0.50 0.48 0.45 0.46 0.45 0.44
0 101 0.43 0.49 0.46 0.49 0.49 0.51 0.50 0.48 0.46 0.46 0.45 0.43
0 102 0.43 0.50 0.46 0.48 0.48 0.50 0.49 0.48 0.45 0.45 0.43 0.41
0 103 0.44 0.51 0.47 0.48 0.47 0.50 0.48 0.47 0.44 0.44 0.40 0.40
0 104 0.45 0.53 0.49 0.51 0.49 0.51 0.49 0.49 0.45 0.45 0.40 0.41
0 105 0.46 0.55 0.52 0.54 0.51 0.53 0.51 0.52 0.48 0.46 0.41 0.42
0 106 0.47 0.56 0.55 0.56 0.53 0.54 0.53 0.54 0.49 0.47 0.42 0.42
0 107 0.46 0.53 0.53 0.54 0.53 0.55 0.53 0.54 0.49 0.47 0.42 0.42
0 108 0.46 0.51 0.51 0.53 0.52 0.55 0.54 0.54 0.49 0.47 0.43 0.42
0 109 0.45 0.49 0.49 0.51 0.51 0.54 0.53 0.53 0.48 0.47 0.44 0.43
0 110 0.45 0.47 0.47 0.49 0.49 0.53 0.52 0.52 0.47 0.47 0.45 0.44
0 111 0.44 0.46 0.45 0.47 0.48 0.51 0.51 0.50 0.47 0.47 0.46 0.45
0 112 0.45 0.46 0.46 0.47 0.48 0.51 0.50 0.50 0.47 0.47 0.47 0.46
0 113 0.45 0.46 0.46 0.48 0.48 0.50 0.50 0.50 0.48 0.48 0.47 0.46
0 114 0.45 0.46 0.47 0.48 0.48 0.50 0.49 0.50 0.48 0.47 0.47 0.46
