<SIZE>242
<LANG>EN
<STATE>Kansas,KS
Salina,38.8403,-97.6114
Scott City,38.4825,-100.907
Sedan,37.1267,-96.1869
Selden,39.5408,-100.568
Seneca,39.8342,-96.0642
Sharon Springs,38.8978,-101.752
Shawnee,39.0417,-94.7202
Smith Center,39.7792,-98.7851
Spearville,37.85,-99.7568
Stockton,39.4381,-99.2651
Sublette,37.4817,-100.844
Summerfield,39.9972,-96.3503
Sun City,37.3786,-98.9159
Susank,38.6408,-98.774
Sylvia,37.9578,-98.4081
Syracuse,37.9806,-101.753
Tampa,38.5472,-97.1531
Thayer,37.4931,-95.4703
Topeka,39.0483,-95.678
Toronto,37.7989,-95.9492
Tribune,38.4697,-101.753
Ulysses,37.5814,-101.355
Utica,38.6439,-100.17
Valley Center,37.8347,-97.3734
Valley Falls,39.3433,-95.4603
Virgil,37.9809,-96.0103
Wakeeney,39.025,-99.8796
Waldo,39.1183,-98.7981
Waldron,37.0022,-98.1826
Wamego,39.2019,-96.305
Washington,39.8181,-97.0509
Wathena,39.7592,-94.9497
Waverly,38.3939,-95.603
Webber,39.935,-98.035
Wellington,37.2653,-97.3717
Westmoreland,39.3939,-96.4136
Westphalia,38.182,-95.4903
White City,38.7956,-96.7358
Wichita,37.6922,-97.3375
Wilson,38.825,-98.4753
Windom,38.3839,-97.91
Winfield,37.2397,-96.9956
Winona,39.0633,-101.244
Yates Center,37.8811,-95.7333
Zenda,37.4422,-98.282
