<SIZE>245
<LANG>EN
<STATE>Washington,WA
Steilacoom,47.1698,-122.603
Stevenson,45.6957,-121.885
Sudden Valley,48.7229,-122.347
Summit,47.1618,-122.357
Sumner,47.2032,-122.24
Sunnyside,46.3237,-120.009
Tacoma,47.2529,-122.444
Taholah,47.3473,-124.293
Tekoa,47.2232,-117.072
Terrace Heights,46.6062,-120.44
Toledo,46.4398,-122.847
Tonasket,48.7052,-119.44
Toppenish,46.3773,-120.309
Touchet,46.0399,-118.672
Trout Lake,45.9973,-121.528
Tukwila,47.474,-122.261
Tumwater,47.0073,-122.909
Twisp,48.3635,-120.122
Union Gap,46.5574,-120.475
University Place,47.2357,-122.55
Vancouver,45.6387,-122.661
Vantage,46.9454,-119.987
Vashon,47.4473,-122.46
Veradale,47.6568,-117.196
Verlot,48.0904,-121.777
Walla Walla,46.0646,-118.343
Waller,47.2007,-122.369
Walnut Grove,45.6679,-122.599
Washougal,45.5826,-122.353
Washtucna,46.7565,-118.311
Waterville,47.6471,-120.071
Wenatchee,47.4235,-120.31
West Lake Sammamish,47.5776,-122.101
West Lake Stevens,47.9934,-122.102
West Richland,46.3043,-119.361
West Valley,46.5921,-120.605
White Center,47.5173,-122.355
White Salmon,45.7276,-121.486
White Swan,46.3829,-120.731
Wilbur,47.7588,-118.706
Wilson Creek,47.4232,-119.121
Woodinville,47.7543,-122.163
Woodland,45.9046,-122.744
Yakima,46.6021,-120.506
