<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Miyazaki,45
えびの市,,Ebino ,32.0243,130.4852,市,えびの
北諸県郡,,Kitamorokata ,31.5513,131.0945,郡,きたもろかた
,高崎町,Takasaki ,31.5153,131.0405,町,たかさき
,高城町,takajo,31.4755,131.0741,町,たかじょう
,三股町,Mimata,31.434,131.0726,町,みまた
,山田町,Yamada,31.4831,131.023,町,やまだ
,山之口町,Yamanokuchi ,31.4704,131.093,町,やまのくち
串間市,,Kushima ,31.2813,131.1344,市,くしま
小林市,,Kobayashi ,31.5927,130.584,市,こばやし
児湯郡,,Koyu ,32.1313,131.2445,郡,こゆ
,川南町,Kawaminami ,32.112,131.3129,町,かわみなみ
,木城町,Kijo ,32.0933,131.2818,町,きじょう
,新富町,Shintomi ,32.0354,131.2908,町,しんとみ
,高鍋町,Takanabe ,32.0721,131.3026,町,たかなべ
,都農町,Tsuno ,32.1522,131.3342,町,つの
,西米良村,Nishimera ,32.1344,131.0937,村,にしめら
西都市,,Saito ,32.0636,131.2349,市,さいと
西臼杵郡,,Nishiusuki ,32.4013,131.2145,郡,にしうすき
,五ヶ瀬町,Gokase ,32.4114,131.1211,町,ごかせ
,高千穂町,Takachiho ,32.4239,131.1835,町,たかちほ
,日之影町,Hinokage ,32.3904,131.2259,町,ひのかげ
西諸県郡,,Nishimorota,32.0313,131.0744,郡,にしもろかた
,須木村,Suki,32.043,131.0443,村,すき
,高原町,Takaharu,31.5534,131.0044,町,たかはる
,野尻町,Nojiri,31.5715,131.06,町,のじり
日南市,,Nichinan,31.3556,131.2251,市,にちなん
延岡市,,Nobeoka ,32.3449,131.4011,市,のべおか
東臼杵郡,,Higashiusuki ,32.3913,131.3544,郡,ひがしうすき
,門川町,Kadogawa ,32.2746,131.39,町,かどがわ
,北浦町,Kitaura ,32.423,131.4923,町,きたうら
,北方町,Kitakata ,32.3347,131.3117,町,きたかた
,北川町,Kitagawa ,32.4119,131.4144,町,きたがわ
,北郷村,Kitago ,32.2942,131.2634,村,きたごう
,西郷村,Saigo ,32.261,131.2542,村,さいごう
,椎葉村,Shiiba ,32.2749,131.0928,村,しいば
,東郷町,Togo,32.2313,131.313,町,とうごう
,南郷村,Nango ,32.2247,131.201,村,なんごう
,諸塚村,Morotsuka ,32.3113,131.1845,村,もろつか
東諸県郡,,Higashimorokata ,31.5913,131.1845,郡,ひがしもろかた
,綾町,Aya,31.5938,131.1523,町,あや
,国富町,Kunitomi ,31.5907,131.1913,町,くにとみ
,高岡町,Takaoka ,31.5713,131.1745,町,たかおか
日向市,,Hyuga,32.2508,131.3721,市,ひゅうが
南那珂郡,,Minaminaka ,31.3913,131.1245,郡,みなみなか
,北郷町,Kitago ,31.4032,131.2252,町,きたごう
,南郷町,Nango,31.3156,131.2215,町,なんごう
都城市,,Miyakonojo,31.4313,131.0345,市,みやこのじょう
宮崎市,,Miyazaki,31.5421,131.2526,市,みやざき
宮崎郡,,Miyazaki,31.5313,131.1944,郡,みやざき
,清武町,Kiyotake,31.5116,131.2339,町,きよたけ
,佐土原町,Sadowara,32.013,131.2808,町,さどわら
,田野町,Tano ,31.5009,131.1809,町,たの
