<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Shizuoka,22
熱海市,,Atami,35.0546,139.0416,市,あたみ
伊豆市,,Izu,34.5835,138.5647,市,いず
伊東市,,Ito,34.5757,139.0605,市,いとう
引佐郡,,Inasa,34.5112,137.3547,郡,いなさ
,引佐町,Inasa,34.5004,137.4009,町,いなさ
,細江町,Hosoe,34.4822,137.3902,町,ほそえ
,三ヶ日町,Mikkabi,34.4811,137.332,町,みっかび
庵原郡,,Ihara,35.0812,138.2847,郡,いはら
,蒲原町,Kanbara,35.0708,138.3559,町,かんばら
,富士川町,Fujikawa,35.0855,138.3706,町,ふじかわ
,由比町,Yui,35.0624,138.334,町,ゆい
磐田郡,,Iwata,34.4612,137.4547,郡,いわた
,浅羽町,Asaba,34.4227,137.5552,町,あさば
,佐久間町,Sakuma,35.0531,137.4848,町,さくま
,龍山村,Tatsuyama,34.581,137.4931,村,たつやま
,豊岡村,Toyooka ,34.5019,137.5033,村,とよおか
,豊田町,Toyoda ,34.434,137.4917,町,とよだ
,福田町,Fukude,34.4054,137.5248,町,ふくで
,水窪町,Misakubo,35.0948,137.5206,町,みさくぼ
,竜洋町,Ryuyo ,34.4041,137.4858,町,りゅうよう
磐田市,,Iwata,34.4304,137.5103,市,いわた
小笠郡,,Ogasa,34.4312,137.5847,郡,おがさ
,大須賀町,Osuka,34.4044,137.5918,町,おおすか
,小笠町,Ogasa,34.4141,138.0524,町,おがさ
,菊川町,Kikukawa,34.4529,138.0502,町,きくかわ
,大東町,Daito,34.3956,138.0316,町,だいとう
御前崎市,,Omaezaki,34.3639,138.1219,市,おまえざき
掛川市,,Kakegawa,34.4609,137.5953,市,かけがわ
賀茂郡,,Kamo,34.5112,138.5347,郡,かも
,賀茂村,Kamo,34.5056,138.4632,村,かも
,河津町,Kawazu,34.4525,138.5915,町,かわづ
,西伊豆町,Nishiizu,34.4617,138.4629,町,にしいず
,東伊豆町,Higashiizu,34.4622,139.0227,町,ひがしいず
,松崎町,Matsuzaki,34.4509,138.4642,町,まつざき
,南伊豆町,Minamiizu,34.5902,138.513,町,みなみいず
湖西市,,Kosai,34.4306,137.3152,市,こさい
御殿場市,,Gotenba,35.183,138.5601,市,ごてんば
静岡市,,Shizuoka,34.583,138.2258,市,しずおか
志太郡,,Shida,34.5512,138.1147,郡,しだ
,大井川町,Oigawa,34.4813,138.1702,町,おおいがわ
,岡部町,Okabe,34.5439,138.1645,町,おかべ
島田市,,Shimada,34.5011,138.1032,市,しまだ
下田市,,Shimoda,34.4047,138.5645,市,しもだ
周智郡,,Shuchi,34.5512,137.5547,郡,しゅうち
,春野町,Haruno,34.5854,137.5348,町,はるの
,森町,Mori,34.501,137.5535,町,もり
裾野市,,Susono,35.1026,138.5423,市,すその
駿東郡,,Sunto,35.1412,138.5047,郡,すんとう
,小山町,Oyama,35.2138,138.5915,町,おやま
,清水町,Shimizu,35.0557,138.5409,町,しみず
,長泉町,Nagaizumi,35.0813,138.535,町,ながいずみ
田方郡,,Tagata,35.0112,138.5148,郡,たがた
,伊豆長岡町,Izunagaoka,35.014,138.5542,町,いずながおか
,大仁町,Ohito,35.0053,138.5641,町,おおひと
,函南町,Kannami,35.0522,138.5641,町,かんなみ
,韮山町,Nirayama,35.0333,138.5708,町,にらやま
,戸田村,Heda,34.5821,138.464,村,へだ
天竜市,,Tenryu,34.5222,137.4856,市,てんりゅう
沼津市,,Numazu,35.0544,138.5148,市,ぬまづ
榛原郡,,Haibara,34.4012,138.0847,郡,はいばら
,金谷町,Kanaya,34.5004,138.0736,町,かなや
,川根町,Kawane,34.5634,138.0436,町,かわね
,相良町,Sagara,34.4111,138.115,町,さがら
,中川根町,Nakakawane,35.0249,138.0452,町,なかかわね
,榛原町,Haibara,34.4424,138.1325,町,はいばら
,本川根町,Honkawane,35.0635,138.0815,町,ほんかわね
,吉田町,Yoshida,34.4614,138.1503,町,よしだ
浜北市,,Hamakita,34.4735,137.4722,市,はまきた
浜名郡,,Hamana,34.4312,137.3447,郡,はまな
,新居町,Arai,34.412,137.3338,町,あらい
,舞阪町,Maisaka,34.4114,137.3626,町,まいさか
,雄踏町,Yuto,34.414,137.3748,町,ゆうとう
浜松市,,Hamamatsu,34.424,137.4334,市,はままつ
袋井市,,Fukuroi ,34.45,137.5527,市,ふくろい
富士郡,,Fuji,35.1412,138.3147,郡,ふじ
,芝川町,Shibakawa,35.1156,138.3342,町,しばかわ
富士市,,Fuji,35.0941,138.4042,市,ふじ
藤枝市,,Fujieda,34.5203,138.1526,市,ふじえだ
富士宮市,,Fujinomiya,35.132,138.3715,市,ふじのみや
三島市,,Mishima,35.0706,138.5506,市,みしま
焼津市,,Yaizu,34.5202,138.1921,市,やいづ
