<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Tokushima,36
阿南市,,Anan,33.5511,134.3932,市,あなん
阿波郡,,Awa,34.0612,134.1646,郡,あわ
,阿波町,Awa,34.0435,134.1411,町,あわ
,市場町,Ichiba,34.0517,134.1701,町,いちば
板野郡,,Itano,34.0712,134.2545,郡,いたの
,藍住町,Aizumi,34.0719,134.2939,町,あいずみ
,板野町,Itano,34.0854,134.2744,町,いたの
,上板町,Kamiita,34.0623,134.2417,町,かみいた
,北島町,Kitajima,34.0713,134.3307,町,きたじま
,土成町,Donari,34.0641,134.2037,町,どなり
,松茂町,Matsushige,34.0746,134.3448,町,まつしげ
,吉野町,Yoshino ,34.0536,134.2228,町,よしの
麻植郡,,Oe,34.0212,134.1746,郡,おえ
,鴨島町,Kamojima,34.0402,134.2119,町,かもじま
,川島町,Kawashima,34.0327,134.1901,町,かわしま
,美郷村,Misato,34.0112,134.1546,村,みさと
,山川町,Yamakawa,34.0312,134.1446,町,やまかわ
海部郡,,Kaifu,33.4213,134.2946,郡,かいふ
,海南町,Kainan,33.3611,134.2114,町,かいなん
,海部町,Kaifu,33.3547,134.2117,町,かいふ
,宍喰町,Shishikui,33.3345,134.1832,町,ししくい
,日和佐町,Hiwasa ,33.4353,134.3206,町,ひわさ
,牟岐町,Mugi,33.3958,134.2523,町,むぎ
,由岐町,Yuki,33.4627,134.3538,町,ゆき
勝浦郡,,Katsuura,33.5512,134.2545,郡,かつうら
,勝浦町,Katsuura,33.5542,134.3108,町,かつうら
,上勝町,Kamikatsu,33.5309,134.2406,町,かみかつ
小松島市,,Komatsushima ,33.5954,134.3547,市,こまつしま
徳島市,,TOkushima,34.0406,134.3303,市,とくしま
那賀郡,,Naka,33.5112,134.2446,郡,なか
,相生町,Aioi,33.4912,134.2845,町,あいおい
,上那賀町,Kaminaka,33.4821,134.2234,町,かみなか
,木沢村,Kisawa,33.4943,134.1812,村,きさわ
,木頭村,Kito,33.4617,134.1235,村,きとう
,那賀川町,Nakagawa,33.5703,134.3944,町,なかがわ
,羽ノ浦町,Hanoura,33.5732,134.3748,町,はのうら
,鷲敷町,Wajiki,33.5059,134.2936,町,わじき
鳴門市,,Naruto,34.1007,134.3635,市,なると
美馬郡,,Mima,33.5912,134.0746,郡,みま
,穴吹町,Anabuki,34.0321,134.1015,町,あなぶき
,一宇村,Ichiu,33.5712,134.0346,村,いちう
,木屋平村,Koyadaira,33.5613,134.1214,村,こやだいら
,貞光町,Sadamitsu,34.0217,134.0407,町,さだみつ
,半田町,Handa,34.0158,134.0215,町,はんだ
,美馬町,Mima,34.0256,134.0321,町,みま
,脇町,Waki,34.0411,134.0853,町,わき
名西郡,,Myozai,34.0012,134.2146,郡,みょうざい
,石井町,Ishii,34.0419,134.2612,町,いしい
,神山町,Kamiyama,33.5738,134.2119,町,かみやま
名東郡,,Myodo,33.5812,134.2646,郡,みょうどう
,佐那河内村,Sanagochi,33.5911,134.2717,村,さなごうち
三好郡,,Miyoshi,33.5812,133.5346,郡,みよし
,井川町,Ikawa,34.0121,133.5254,町,いかわ
,池田町,Ikeda,34.014,133.4839,町,いけだ
,西祖谷山村,Nishiiyayama,33.5317,133.4852,村,にしいややま
,東祖谷山村,Higashiiyayama ,33.5143,133.5402,村,ひがしいややま
,三加茂町,Mikamo,34.0215,133.5618,町,みかも
,三野町,Mino,34.0233,133.5807,町,みの
,三好町,Miyoshi,34.0227,133.5211,町,みよし
,山城町,Yamashiro,33.5723,133.4502,町,やましろ
