<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Shimane,32
飯石郡,,Iishi,35.1412,132.4745,郡,いいし
,赤来町,Akagi,34.5945,132.4239,町,あかぎ
,掛合町,Kakeya,35.1141,132.4848,町,かけや
,頓原町,Tonbara,35.0429,132.4725,町,とんばら
,三刀屋町,Mitoya,35.17,132.5225,町,みとや
,吉田村,Yoshida,35.0958,132.5135,村,よしだ
出雲市,,Izumo,35.22,132.4511,市,いずも
大田市,,Oda,35.1141,132.2958,市,おおだ
邑智郡,,Ochi,34.5612,132.3445,郡,おおち
,石見町,Iwami,34.5314,132.2623,町,いわみ
,邑智町,Ochi,35.0425,132.3535,町,おおち
,川本町,Kawamoto,34.5924,132.2953,町,かわもと
,桜江町,Sakurae,34.571,132.2014,町,さくらえ
,大和村,Daiwa,34.5724,132.3834,村,だいわ
,羽須美村,Hasumi,34.5243,132.4004,村,はすみ
,瑞穂町,Mizuho ,34.514,132.3213,町,みずほ
大原郡,,Ohara ,35.1812,132.5645,郡,おおはら
,加茂町,Kamo,35.2048,132.5436,町,かも
,木次町,Kasuki,35.1712,132.5357,町,きすき
,大東町,Daito,35.1912,132.5845,町,だいとう
隠岐郡,,Oki,36.0911,133.0945,郡,おき
,海士町,Ama,36.055,133.0559,町,あま
,五箇村,Goka,36.1714,133.1339,村,ごか
,西郷町,Saigo,36.1212,133.1945,町,さいごう
,知夫村,Chibu,36.0045,133.022,村,ちぶ
,都万村,Tsuma,36.1144,133.1356,村,つま
,西ノ島町,Nishinoshima,36.054,133,町,にしのしま
,布施村,Fuse,36.1735,133.2113,村,ふせ
鹿足郡,,Kanoashi,34.2912,131.5645,郡,かのあし
,柿木村,Kakinoki,34.2557,131.5234,村,かきのき
,津和野町,Tsuwano,34.2743,131.4631,町,つわの
,日原町,Nichihara,34.3209,131.5025,町,にちはら
,六日市町,Muikaichi ,34.2123,131.5612,町,むいかいち
江津市,,Gozu,35.0024,132.1329,市,ごうづ
那賀郡,,Naka,34.4912,132.0545,郡,なか
,旭町,Asahi,34.5119,132.1537,町,あさひ
,金城町,Kanagi,34.5113,132.0941,町,かなぎ
,三隅町,Misumi,34.4625,131.5807,町,みすみ
,弥栄村,Yasaka,34.4621,132.0644,村,やさか
仁多郡,,Nita,35.1012,133.0245,郡,にた
,仁多町,Nita,35.1155,133.0013,町,にた
,横田町,Yokota ,35.1032,133.0537,町,よこた
迩摩郡,,Nima,35.0712,132.2645,郡,にま
,仁摩町,Nima ,35.0838,132.2414,町,にま
,温泉津町,Yunotsu,35.0503,132.2131,町,ゆのつ
能義郡,,Nogi ,35.1912,133.1245,郡,のぎ
,伯太町,Hakuta,35.2057,133.1607,町,はくた
,広瀬町,Hirose,35.2114,133.1029,町,ひろせ
浜田市,,Hamada,34.5412,132.0502,市,はまだ
簸川郡,,Hikawa ,35.2412,132.4545,郡,ひかわ
,湖陵町,Koryo,35.191,132.4039,町,こりょう
,佐田町,Sada,35.1458,132.4331,町,さだ
,大社町,Taisha,35.2311,132.4101,町,たいしゃ
,多伎町,Taki ,35.1719,132.3738,町,たき
,斐川町,Hikawa ,35.2322,132.5038,町,ひかわ
平田市,,Hirata ,35.2547,132.4927,市,ひらた
益田市,,Masuda,34.4029,131.5029,市,ますだ
松江市,,Matsue,35.2751,133.0306,市,まつえ
美濃郡,,Mino,34.3712,131.5945,郡,みの
,匹見町,Hikimi ,34.3413,132.01,町,ひきみ
,美都町,Mito ,34.3934,131.5855,町,みと
安来市,,Yasugi,35.2537,133.1506,市,やすぎ
八束郡,,Yatsuka,35.3112,133.0345,郡,やつか
,鹿島町,Kashima,35.3107,132.5959,町,かしま
,島根町,Shimane,35.3345,133.0347,町,しまね
,宍道町,Shinji,35.2431,132.5432,町,しんじ
,玉湯町,Tamayu,35.2549,133.002,町,たまゆ
,東出雲町,Higashiizumo ,35.2553,133.0922,町,ひがしいずも
,美保関町,Mihonoseki,35.333,133.1125,町,みほのせき
,八雲村,Yakumo,35.2408,133.0534,村,やくも
,八束町,Yatsuka,35.3012,133.1045,町,やつか
