<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Tokyo,13
青ヶ島村,,Aogashima,32.2758,139.4546,村,あおがしま
昭島市,,Akishima,35.4241,139.2148,市,あきしま
あきる野市,,Akiruno,35.4346,139.1736,市,あきるの
足立区,,Adachi,35.4633,139.4816,区,あだち
荒川区,,Arakawa,35.441,139.47,区,あらかわ
板橋区,,Itabashi,35.4503,139.4231,区,いたばし
稲城市,,Inagi,35.3817,139.3014,市,いなぎ
江戸川区,,Edogawa,35.4224,139.5206,区,えどがわ
青梅市,,Oume,35.4718,139.1629,市,おうめ
大島町,,Oshima,34.45,139.2119,町,おおしま
大田区,,Ota,35.3445,139.4312,区,おおた
小笠原村,,Ogasawara,27.054,142.1131,村,おがさわら
葛飾区,,Katsushika,35.4436,139.5051,区,かつしか
北区,,Kita,35.451,139.44,区,きた
清瀬市,,Kiyose,35.4709,139.3134,市,きよせ
国立市,,Kunitachi,35.4102,139.2627,市,くにたち
神津島村,,Kozujima,34.1219,139.0804,村,こうづしま
江東区,,Koto,35.4018,139.4859,区,こうとう
小金井市,,Koganei,35.4158,139.301,市,こがねい
国分寺市,,Kokubunji,35.424,139.2742,市,こくぶんじ
小平市,,Kodaira,35.4343,139.2838,市,こだいら
狛江市,,Komae,35.3806,139.3442,市,こまえ
品川区,,Shinagawa,35.3632,139.4347,区,しながわ
渋谷区,,Shibuya,35.3951,139.4152,区,しぶや
新宿区,,Shinjuku,35.4135,139.4214,区,しんじゅく
杉並区,,Suginami,35.4159,139.381,区,すぎなみ
墨田区,,Sumida,35.4238,139.4806,区,すみだ
世田谷区,,Setagaya,35.3846,139.391,区,せたがや
台東区,,Taito,35.4243,139.4651,区,たいとう
立川市,,Tachikawa,35.4139,139.2508,市,たちかわ
田無,,Tanashi,35.4333,139.3217,地名,たなし
多摩市,,Tama,35.3814,139.2646,市,たま
中央区,,Chuo,35.4015,139.4619,区,ちゅうおう
調布市,,Chofu,35.3903,139.3226,市,ちょうふ
千代田区,,Chiyoda,35.4138,139.4505,区,ちよだ
利島村,,Toshima,34.3145,139.1655,村,としま
豊島区,,Toshima,35.4357,139.4254,区,としま
中野区,,Nakano,35.4225,139.3948,区,なかの
新島村,,Nijima,34.2237,139.1525,村,にいじま
西多摩郡,,Nishitama,35.4912,139.0847,郡,にしたま
,奥多摩町,Okutama,35.4835,139.0545,町,おくたま
,日の出町,Hinode,35.4432,139.1526,町,ひので
,檜原村,Hinohara,35.4337,139.0854,村,ひのはら
,瑞穂町,Mizuho,35.462,139.2113,町,みずほ
西東京市,,Nishitokyo,35.44,139.325,市,にしとうきょう
練馬区,,Nerima,35.4409,139.3907,区,ねりま
八王子市,,Hachioji,35.4,139.1857,市,はちおうじ
八丈町,,Hachijo,33.0634,139.4727,町,はちじょう
羽村市,,Hamura,35.4602,139.1839,市,はむら
東久留米市,,Higashikurume,35.453,139.3145,市,ひがしくるめ
東村山市,,Higashimurayama,35.4517,139.2805,市,ひがしむらやま
東大和市,,Higashiyamato,35.4444,139.2534,市,ひがしやまと
日野市,,Hino,35.4017,139.2341,市,ひの
府中市,,Fuchu,35.4008,139.2838,市,ふちゅう
福生市,,Fussa,35.442,139.1934,市,ふっさ
文京区,,Bunkyo,35.4229,139.451,区,ぶんきょう
保谷,,Hoya,35.443,139.3331,地名,ほうや
町田市,,Machida,35.3255,139.2646,市,まちだ
御蔵島村,,Mikurajima,33.535,139.3544,村,みくらじま
三鷹市,,Mitaka,35.41,139.3332,市,みたか
港区,,Minato,35.393,139.4503,区,みなと
三宅村,,Miyake,34.0447,139.3332,村,みやけ
武蔵野市,,Musashino,35.4305,139.3357,市,むさしの
武蔵村山市,,Musashimurayama,35.4517,139.2314,市,むさしむらやま
目黒区,,Meguro,35.3756,139.4132,区,めぐろ
