<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Yamagata,06
飽海郡,,Akumi,38.571,140.0248,郡,あくみ
,平田町,Hirata,38.5319,139.5543,町,ひらた
,松山町,Matsuyama,38.5131,139.5718,町,まつやま
,八幡町,Yahata,38.5816,139.5632,町,やはた
,遊佐町,Yuza,39.0053,139.5427,町,ゆざ
尾花沢市,,Obanazawa,38.3603,140.2421,市,おばなざわ
金山町,,Kaneyama,38.5301,140.2021,町,かねやま
,大蔵村,Okura,38.4216,140.1349,村,おおくら
,鮭川村,Sakekawa,38.4747,140.1317,村,さけかわ
,戸沢村,Tozawa,38.4416,140.0838,村,とざわ
,舟形町,Funagata,38.4129,140.1912,町,ふながた
,真室川町,Mamurogawa,38.513,140.1508,町,まむろがわ
,最上町,Mogami,38.453,140.3109,町,もがみ
上山市,,Kaminoyama,38.0858,140.1605,市,かみのやま
北村山郡,,Kitamurayama,38.3311,140.1948,郡,きたむらやま
,大石田町,Oishida,38.3536,140.2222,町,おおいしだ
寒河江市,,Sagae,38.2251,140.1634,市,さがえ
酒田市,,Sakata,38.5452,139.5011,市,さかた
新庄市,,Shinjo,38.4555,140.1806,市,しんじょう
鶴岡市,,Tsuruoka,38.4338,139.4935,市,つるおか
天童市,,Tendo,38.2144,140.2242,市,てんどう
長井市,,Nagai,38.0628,140.0226,市,ながい
南陽市,,Nanyo,38.0319,140.0853,市,なんよう
西置賜郡,,Nishiokitama,38.0811,139.5248,郡,にしおきたま
,飯豊町,Iide,38.0245,139.5915,町,いいで
,小国町,Oguni,38.0341,139.4435,町,おぐに
,白鷹町,Shirataka,38.11,140.0555,町,しらたか
西田川郡,,Nishitagawa,38.4111,139.3547,郡,にしたがわ
,温海町,Atsumi,38.3716,139.3514,町,あつみ
西村山郡,,Nishimurayama,38.2311,140.0548,郡,にしむらやま
,朝日町,Asahi,38.1758,140.0844,町,あさひ
,大江町,Oe,38.2251,140.1224,町,おおえ
,河北町,Kahoku,38.2534,140.1852,町,かほく
,西川町,Nishikawa,38.2537,140.0851,町,にしかわ
東置賜郡,,Higashiokitama,37.5811,140.0748,郡,ひがしおきたま
,川西町,Kawanishi,38.0016,140.0245,町,かわにし
,高畠町,Takahata,38.001,140.1121,町,たかはた
東田川郡,,Higashitagawa,38.4411,139.4948,郡,ひがしたがわ
,朝日村,Asahi,38.3643,139.5005,村,あさひ
,余目町,Amarume,38.5059,139.5417,町,あまるめ
,櫛引町,Kushibiki,38.4045,139.5101,町,くしびき
,立川町,Tachikawa,38.4722,139.5752,町,たちかわ
,羽黒町,Haguro,38.4309,139.5405,町,はぐろ
,藤島町,Fujishima,38.4557,139.5416,町,ふじしま
,三川町,Mikawa,38.4741,139.5058,町,みかわ
東根市,,Hgashine,38.2553,140.2327,市,ひがしね
東村山郡,,Higashimurayama,38.1911,140.1948,郡,ひがしむらやま
,中山町,Nakayama,38.2,140.1659,町,なかやま
,山辺町,yamanobe,38.1746,140.1558,町,やまのべ
村山市,,Murayama,38.29,140.2249,市,むらやま
最上郡,,Mogami,38.4911,140.2248,郡,もがみ
山形市,,Yamagata,38.1519,140.2024,市,やまがた
米沢市,,Yonezawa,37.552,140.0701,市,よねざわ
