<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Kumamoto ,43
葦北郡,,Ashikita ,32.1813,130.3244,郡,あしきた
,芦北町,Ashikita ,32.1734,130.2921,町,あしきた
,田浦町,Tanoura ,32.2137,130.3038,町,たのうら
,津奈木町,Tsunagi ,32.1352,130.2619,町,つなぎ
阿蘇郡,,Aso,32.4613,131.0744,郡,あそ
,阿蘇町,Aso,32.5805,131.0232,町,あそ
,一の宮町,Ichinomiya ,32.5659,131.0722,町,いちのみや
,産山村,Ubuyama,32.591,131.1301,村,うぶやま
,小国町,Oguni,33.0613,131.0244,町,おぐに
,久木野村,Kugino ,32.4852,131.0158,村,くぎの
,蘇陽町,Soyo,32.4301,131.0957,町,そよう
,高森町,Takamori,32.4909,131.0739,町,たかもり
,長陽村,Choyo,32.5134,131.0016,村,ちょうよう
,波野村,Namino ,32.554,131.1331,村,なみの
,西原村,Nishihara ,32.4949,130.5408,村,にしはら
,白水村,Hakusui ,32.4926,131.0456,村,はくすい
,南小国町,Minamioguni,33.0513,131.0345,町,みなみおぐに
天草郡,,Amakusa ,32.2813,130.2044,郡,あまくさ
,天草町,Amakusa ,32.2211,130.0008,町,あまくさ
,有明町,Ariake ,32.3041,130.1856,町,ありあけ
,五和町,Itsuwa ,32.3038,130.1124,町,いつわ
,河浦町,Kawaura ,32.1933,130.0448,町,かわうら
,倉岳町,Kuratake ,32.2434,130.2019,町,くらたけ
,御所浦町,Goshoura,32.2012,130.2032,町,ごしょうら
,新和町,Shinwa ,32.212,130.1054,町,しんわ
,栖本町,Sumoto ,32.2514,130.162,町,すもと
,苓北町,Reihoku,32.3041,130.0302,町,れいほく
荒尾市,,Arao ,32.5904,130.2551,市,あらお
牛深市,,Ushibuka ,32.1151,130.0128,市,うしぶか
宇土市,,Uto ,32.4114,130.3914,市,うと
宇土郡,,Uto ,32.3913,130.3244,郡,うと
,不知火町,Shiranui ,32.3824,130.402,町,しらぬい
,三角町,Misumi,32.3705,130.2817,町,みすみ
上天草市,,Kamiamakusa ,32.3503,130.2558,町,かみあまくさ
上益城郡,,Kamimashiki,32.4413,130.5345,郡,かみましき
,嘉島町,Kashima,32.4413,130.4544,町,かしま
,甲佐町,Kosa ,32.3858,130.4857,町,こうさ
,清和村,Seiwa ,32.4122,131.0521,村,せいわ
,益城町,Mashiki,32.4721,130.4903,町,ましき
,御船町,Mifune,32.4255,130.4818,町,みふね
,矢部町,Yabe ,32.4051,130.5916,町,やべ
鹿本郡,,Kamoto ,33.0313,130.4344,郡,かもと
,植木町,Ueki ,32.535,130.4149,町,うえき
,鹿央町,Kao ,32.5813,130.4044,町,かおう
,鹿北町,Kahoku ,33.0613,130.4135,町,かほく
,鹿本町,Kamoto ,32.5938,130.4432,町,かもと
,菊鹿町,Kikuka ,33.0132,130.4613,町,きくか
菊池市,,Kikuchi ,32.5833,130.485,市,きくち
