<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Ehime,38
今治市,,Iwabari,34.0334,132.5954,市,いまばり
伊予市,,Iyo,33.4517,132.4223,市,いよ
伊予郡,,Iyo,33.4313,132.4545,郡,いよ
,砥部町,Tobe,33.4432,132.475,町,とべ
,中山町,Nakayama,33.3812,132.4245,町,なかやま
,広田村,Hirota ,33.3752,132.4759,村,ひろた
,双海町,Futami ,33.4122,132.3758,町,ふたみ
,松前町,Masaki,33.4712,132.4227,町,まさき
宇和島市,,Uwajima,33.1318,132.3337,市,うわじま
大洲市,,Ozu,33.3013,132.3245,市,おおず
越智郡,,Ochi,34.0112,132.5745,郡,おち
,朝倉村,Asakura,33.5938,133.0123,村,あさくら
,生名村,Ikina,34.1553,133.1058,村,いきな
,岩城村,Iwagi,34.145,133.0845,村,いわぎ
,魚島村,Uoshima ,34.1035,133.1917,村,うおしま
,大西町,Onishi,34.0334,132.5533,町,おおにし
,大三島町,Omishima ,34.1442,132.5945,町,おおみしま
,上浦町,Kamiura,34.154,133.0216,町,かみうら
,菊間町,Kikuma ,34.0219,132.5032,町,きくま
,関前村,Sekizen,34.1112,132.5245,村,せきぜん
,玉川町,Tamagawa,34.0037,132.5628,町,たまがわ
,波方町,Namikata,34.0554,132.5705,町,なみかた
,伯方町,Hakata,34.1209,133.0649,町,はかた
,宮窪町,Miyakubo ,34.1011,133.043,町,みやくぼ
,弓削町,Yuge,34.1513,133.1215,町,ゆげ
,吉海町,Yoshiumi ,34.0852,133.0222,町,よしうみ
温泉郡,,Onsen,33.5012,132.5145,郡,おんせん
,川内町,Kawauchi,33.4756,132.5508,町,かわうち
,重信町,Shigenobu,33.4756,132.5221,町,しげのぶ
,中島町,Nakajima,33.5831,132.3737,町,なかじま
上浮穴郡,,Kamiukena,33.3613,132.5345,郡,かみうけな
,小田町,Oda,33.3358,132.4831,町,おだ
,面河村,Omogo,33.4118,133.0239,村,おもご
,久万町,Kuma,33.3913,132.5405,町,くま
,美川村,Mikawa,33.364,132.5819,村,みかわ
,柳谷村,Yanadani,33.331,133.0015,村,やなだに
喜多郡,,Kita,33.3512,132.3545,郡,きた
,五十崎町,Ikazaki,33.314,132.393,町,いかざき
,内子町,Uchiko,33.3302,132.385,町,うちこ
,河辺村,Kawabe,33.2912,132.4345,村,かわべ
,長浜町,Nagahama ,33.365,132.285,町,ながはま
,肱川町,Hijikawa,33.2656,132.4117,町,ひじかわ
北宇和郡,,Kitauwa,33.2012,132.3745,郡,きたうわ
,津島町,Tsushima ,33.0728,132.3058,町,つしま
,日吉村,Hiyoshi ,33.2012,132.4745,村,ひよし
,広見町,Hiromi ,33.1523,132.4113,町,ひろみ
,松野町,Matsuno,33.1337,132.4253,町,まつの
,三間町,Mima,33.1734,132.3628,町,みま
,吉田町,Yoshida ,33.1639,132.3214,町,よしだ
西条市,,Saijo,33.5446,133.1052,市,さいじょう
四国中央市,,Shikokuchuo,34,133.3458,市,しこくちゅうおう
周桑郡,,Shuso ,33.5212,133.0445,郡,しゅうそう
,小松町,Komatsu,33.5336,133.0653,町,こまつ
,丹原町,Tanbara,33.5412,133.0345,町,たんばら
西予市,,Seiyo,33.2138,132.3053,市,せいよ
東予市,,Touyo,33.5526,133.0513,市,とうよ
新居浜市,,Nihama ,33.5719,133.1653,市,にいはま
西宇和郡,,Nishiuwa,33.2827,132.1457,郡,にしうわ
,伊方町,Ikata,33.2912,132.2113,町,いかた
,瀬戸町,Seto ,33.2719,132.1442,町,せと
,保内町,Honai ,33.2847,132.24,町,ほない
,三瓶町,Mikame ,33.2238,132.2521,町,みかめ
,三崎町,Misaki,33.2313,132.0727,町,みさき
東宇和郡,,Higashiuwa ,33.2213,132.2845,郡,ひがしうわ
,明浜町,Akehama,33.1909,132.2547,町,あけはま
,宇和町,Uwa ,33.2138,132.3053,町,うわ
,城川町,Shirokawa ,33.2313,132.4445,町,しろかわ
,野村町,Nomura ,33.2238,132.3834,町,のむら
北条市,,Hojo ,33.5815,132.4651,市,ほうじょう
松山市,,Matasuyama,33.5008,132.4558,市,まつやま
南宇和郡,,Minamiuwa,33.0413,132.3445,郡,みなみうわ
,一本松町,Ipponmatsu,32.5741,132.3838,町,いっぽんまつ
,内海村,Uchiumi,33.0108,132.3007,村,うちうみ
,城辺町,Johen,32.5721,132.3518,町,じょうへん
,西海町,Nishiumi,32.5626,132.3028,町,にしうみ
,別子山,Besshiyama,33.5031,133.2257,地名,べっしやま
,御荘町,Misho,32.5744,132.3414,町,みしょう
八幡浜市,,Yawatahama,33.2717,132.2527,市,やわたはま
