<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Tochigi,09
足利市,,Ashikaga,36.2024,139.2657,市,あしかが
安蘇郡,,Aso,36.2512,139.2947,郡,あそ
,葛生町,Kuzu,36.2407,139.3638,町,くずう
,田沼町,Tanuma,36.223,139.3411,町,たぬま
今市市,,Imaichi,36.4312,139.4152,市,いまいち
宇都宮市,,Utsunomiya,36.3318,139.5257,市,うつのみや
大田原市,,Otawara,36.5214,140.0056,市,おおたわら
小山市,,Oyama,36.1853,139.48,市,おやま
鹿沼市,,Kanuma,36.34,139.4441,市,かぬま
上都賀郡,,Kamitsuga,36.3412,139.3147,郡,かみつが
,足尾町,Ashio,36.3815,139.2626,町,あしお
,粟野町,Awano,36.3055,139.4023,町,あわの
,市貝町,Ichikai,36.3232,140.0609,町,いちかい
,西方町,Nishikata,36.2802,139.444,町,にしかた
,二宮町,Ninomiya,36.2248,139.5804,町,にのみや
,芳賀郡,Haga,36.3012,140.0548,郡,はが
,芳賀町,Haga,36.3252,140.0328,町,はが
,益子町,Mashiko,36.2803,140.0535,町,ましこ
,茂木町,Motegi,36.3156,140.1115,町,もてぎ
河内郡,,Kawachi,36.3112,139.5348,郡,かわち
,上河内町,Kamikawachi,36.4058,139.5404,町,かみかわち
,上三川町,Kaminokawa,36.2621,139.5432,町,かみのかわ
,河内町,Kawachi,36.3744,139.5622,町,かわち
,南河内町,Minamikawachi,36.2302,139.5235,町,みなみかわち
黒磯市,,Kroiso,36.5742,140.0246,市,くろいそ
佐野市,,Sano,36.1852,139.3441,市,さの
塩谷郡,,Shioya,36.5611,139.4247,郡,しおや
,氏家町,Ujiie,36.4107,139.5759,町,うじいえ
,喜連川町,Kitsuregawa,36.4308,140.0129,町,きつれがわ
,栗山村,Kuriyama,36.5208,139.3651,村,くりやま
,塩谷町,Shioya,36.4639,139.5102,町,しおや
,高根沢町,Takanezawa,36.3752,139.5912,町,たかねざわ
,藤原町,Fujiwara,36.4955,139.4311,町,ふじわら
下都賀郡,,Shimotsuka,36.2711,139.3847,郡,しもつが
,石橋町,Ishibashi,36.2614,139.5141,町,いしばし
,岩舟町,Iwafune,36.1908,139.3926,町,いわふね
,大平町,Ohira,36.2015,139.4204,町,おおひら
,国分寺町,Kokubunji,36.2315,139.5031,町,こくぶんじ
,都賀町,Tsuga,36.2543,139.4454,町,つが
,野木町,Nogi,36.14,139.4427,町,のぎ
,藤岡町,Fujioka,36.1544,139.3858,町,ふじおか
,壬生町,Mibu,36.2538,139.4815,町,みぶ
栃木市,,Tochigi,36.2253,139.435,市,とちぎ
那須郡,,Nasu,36.4711,140.0048,郡,なす
,小川町,Ogawa,36.4544,140.075,町,おがわ
,烏山町,Karasuyama,36.3926,140.0905,町,からすやま
,黒羽町,Kurobane,36.5135,140.0715,町,くろばね
,塩原町,Shiobara,36.5811,139.492,町,しおばら
,那須町,Nasu,37.011,140.0715,町,なす
,西那須野町,Nishinasuno,36.5256,139.5902,町,にしなすの
,馬頭町,Bato,36.4417,140.1017,町,ばとう
,南那須町,Minaminasu,36.3931,140.0538,町,みなみなす
,湯津上村,Yuzukami,36.4724,140.072,村,ゆづかみ
日光市,,Nikko,36.4502,139.3626,市,にっこう
真岡市,,Mooka,36.2624,140.0048,市,もおか
矢板市,,Yaita,36.4824,139.5527,市,やいた
