<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Nigata,15
阿賀野市,,Agano,37.4624,139.1404,市,あがの
新井市,,Arai,37.0134,138.1513,市,あらい
糸魚川市,,Itoigawa,37.022,137.5144,市,いといがわ
岩船郡,,Iwafune,38.1311,139.3247,郡,いわふね
,朝日村,Asahi,38.1607,139.3217,村,あさひ
,荒川町,Arakawa,38.0727,139.2637,町,あらかわ
,粟島浦村,Awashimaura,38.2806,139.1512,村,あわしまうら
,神林村,Kamihayashi,38.1059,139.2722,村,かみはやし
,山北町,Sanpoku,38.3052,139.3201,町,さんぽく
,関川村,Sekikawa,38.0523,139.3353,村,せきかわ
小千谷市,,Ojiya,37.1852,138.474,市,おぢや
柏崎市,,Kashiwazaki,37.222,138.3329,市,かしわざき
加茂市,,Kamo,37.3959,139.0224,市,かも
刈羽郡,,Kariwa,37.2311,138.4047,郡,かりわ
,小国町,Oguni,37.1821,138.4231,町,おぐに
,刈羽村,Kariwa,37.252,138.3719,村,かりわ
,高柳町,Takayanagi,37.1326,138.3819,町,たかやなぎ
,西山町,Nishiyama,37.2725,138.3958,町,にしやま
北魚沼郡,,Kitauonuma,37.1911,138.5247,郡,きたうおぬま
,入広瀬村,Irihirose,37.2126,139.0415,村,いりひろせ
,川口町,Kawaguchi,37.1613,138.5139,町,かわぐち
,小出町,Koide,37.1348,138.574,町,こいで
,守門村,Sumon,37.1902,139.005,村,すもん
,広神村,Hirokami,37.1522,138.5835,村,ひろかみ
,堀之内町,Horinouchi,37.1437,138.5529,町,ほりのうち
,湯之谷村,Yunotani,37.1334,139.0027,村,ゆのたに
北蒲原郡,,Kitakanbara,37.5511,139.2547,郡,きたかんばら
,加治川村,Kajikawa,37.5923,139.2157,村,かじかわ
,黒川村,Kurokawa,38.0428,139.2626,村,くろかわ
,紫雲寺町,Shiunji,38.0049,139.1916,町,しうんじ
,聖籠町,Seiro,37.5828,139.1626,町,せいろう
,中条町,Nakajo,38.0335,139.2435,町,なかじょう
黒埼,,Kurosaki,37.5045,139.005,地名,くろさき
,味方村,Ajikata,37.4642,139.0037,村,あじかた
,潟東村,Katahigashi,37.4601,138.5754,村,かたひがし
,月潟村,Tukigata,37.4343,138.5929,村,つきがた
,中之口村,Nakanokuchi,37.4303,138.5806,村,なかのくち
古志郡,,Koshi,37.2411,138.5148,郡,こし
,山古志村,Yamakoshi,37.1936,138.5323,村,やまこし
五泉市,,Gosen,37.444,139.1056,市,ごせん
佐渡市,,Sado,38.045,138.2604,市,さど
三条市,,Sanjo,37.3811,138.574,市,さんじょう
三島郡,,Santo,37.3311,138.4547,郡,さんとう
,出雲崎町,Izumozaki,37.315,138.4232,町,いずもざき
,越路町,Koshiji,37.2344,138.4656,町,こしじ
,寺泊町,Teradomari,37.3842,138.4611,町,てらどまり
,三島町,Mishima,37.2938,138.4656,町,みしま
,与板町,Yoita,37.3227,138.4803,町,よいた
,和島村,Washima,37.3432,138.4618,村,わしま
新発田市,,Shibata,37.5703,139.1939,市,しばた
上越市,,Joetsu,37.0847,138.1408,市,じょうえつ
白根市,,Shirone,37.4959,139.0223,市,しろね
燕市,,Tsubame,37.4001,138.5533,市,つばめ
十日町市,,Tokamachi,37.0739,138.4518,市,とおかまち
栃尾市,,Tochio,37.2849,138.5932,市,とちお
豊栄市,,Toyosaka,37.5458,139.1307,市,とよさか
中魚沼郡,,Nakauonuma,37.0711,138.4047,郡,なかうおぬま
,川西町,Kawanishi,37.0944,138.4418,町,かわにし
,津南町,Tsunan,37.0053,138.3907,町,つなん
,中里村,Nakasato,37.0312,138.4155,村,なかさと
長岡市,,Nagaoka,37.2613,138.5022,市,ながおか
中蒲原郡,,Nakakanbara,37.4211,139.1047,郡,なかかんばら
,亀田町,Kameda,37.5206,139.0537,町,かめだ
,小須戸町,Kosudo,37.452,139.0415,町,こすど
,村松町,Muramatsu,37.4137,139.1028,町,むらまつ
,横越町,Yokogoshi,37.5123,139.0843,町,よこごし
中頸城郡,,Nakakubiki,37.0711,138.1747,郡,なかくびき
,板倉町,Itakura,37.0309,138.1737,町,いたくら
,大潟町,Ogata,37.1349,138.1944,町,おおがた
,柿崎町,Kakizaki,37.1638,138.2325,町,かきざき
,清里村,Kiyosato,37.0454,138.2001,村,きよさと
,頸城村,Kubiki,37.1113,138.1945,村,くびき
,三和村,Sanwa,37.0729,138.2043,村,さんわ
,中郷村,Nakago,36.585,138.1328,村,なかごう
,妙高村,Myoko,36.5603,138.134,村,みょうこう
,妙高高原町,Myokokogen,36.5218,138.1233,町,みょうこうこうげん
,吉川町,Yoshikawa,37.1322,138.2421,町,よしかわ
新潟市,,Nigata,37.5459,139.021,市,にいがた
新津市,,Niitsu,37.4719,139.0652,市,にいつ
西蒲原郡,,Nishikanbara,37.4811,138.5448,郡,にしかんばら
,岩室村,Iwamuro,37.4334,138.5203,村,いわむろ
,西川町,Nishikawa,37.4727,138.5513,町,にしかわ
,分水町,Bunsui,37.3736,138.5022,町,ぶんすい
,巻町,Maki,37.4537,138.532,町,まき
,弥彦村,Yahiko,37.4127,138.5117,村,やひこ
,吉田町,Yoshida,37.4109,138.5247,町,よしだ
西頸城郡,,Nishikubiki,37.0311,138.0347,郡,にしくびき
,青海町,Omi,37.0127,137.4751,町,おうみ
,名立町,Nadachi,37.0935,138.0521,町,なだち
,能生町,No,37.0607,137.591,町,のう
東蒲原郡,,Higashikanbara,37.4011,139.2247,郡,ひがしかんばら
,鹿瀬町,Kanose,37.4138,139.2854,町,かのせ
,上川村,Kamikawa,37.3735,139.2745,村,かみかわ
,津川町,Tsugawa,37.4032,139.273,町,つがわ
,三川村,Mikawa,37.4248,139.2251,村,みかわ
東頸城郡,,Higashikubiki,37.0211,138.2947,郡,ひがしくびき
,浦川原村,Uragawara,37.0934,138.254,村,うらがわら
