<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Kagoshima,46
姶良郡,,Aira ,31.4713,130.4944,郡,あいら
,姶良町,Airea ,31.4313,130.3744,町,あいら
,加治木町,Kajiki ,31.4313,130.4044,町,かじき
,蒲生町,Kamo ,31.4613,130.3344,町,かもう
,霧島町,Kirishima ,31.4916,130.5005,町,きりしま
,栗野町,Kurino ,31.5701,130.4311,町,くりの
,隼人町,Hayato ,31.443,130.4351,町,はやと
,福山町,Fukuyama ,31.4018,130.4921,町,ふくやま
,牧園町,Makizono ,31.5056,130.453,町,まきぞの
,溝辺町,Mizobe ,31.4913,130.4044,町,みぞべ
,横川町,Yokogawa ,31.5359,130.4219,町,よこがわ
,吉松町,Yoshimatsu ,32.0051,130.4451,町,よしまつ
阿久根市,,Akune ,32.0051,130.1122,市,あくね
伊佐郡,,Isa ,32.0113,130.3444,郡,いさ
,菱刈町,Hishikari ,32.004,130.3849,町,ひしかり
出水市,,Izumi,32.0518,130.2113,市,いずみ
出水郡,,Izumi ,32.0813,130.2144,郡,いずみ
,東町,Azuma ,32.1213,130.1044,町,あずま
,高尾野町,Takaono ,32.0331,130.1843,町,たかおの
,長島町,Nagashima ,32.0902,130.0722,町,ながしま
,野田町,Noda,32.0331,130.162,町,のだ
揖宿郡,,Ibusuki ,31.1813,130.3444,郡,いぶすき
,頴娃町,Ei,31.1413,130.2944,町,えい
,開聞町,Kaimon,31.1218,130.3219,町,かいもん
,喜入町,Kiire ,31.2235,130.3227,町,きいれ
,山川町,Yamagawa,31.1158,130.382,町,やまがわ
指宿市,,Ibusuki,31.15,130.381,市,いぶすき
大口市,,Okuchi,32.0243,130.3658,市,おおくち
大島郡,,Oshima,28.0814,129.4044,郡,おおしま
,天城町,Amagi,27.4821,128.535,町,あまぎ
,伊仙町,Isen,27.4011,128.5606,町,いせん
,宇検村,Uken ,28.1623,129.1725,村,うけん
,笠利町,Kasari,28.2704,129.4014,町,かさり
,喜界町,Kikai,28.1901,129.5612,町,きかい
,住用村,Sumiyo,28.1546,129.2435,村,すみよう
,瀬戸内町,Setouchi ,28.0834,129.183,町,せとうち
,竜郷町,Tatsugo,28.2432,129.3506,町,たつごう
,知名町,China,27.1957,128.3421,町,ちな
,徳之島町,Tokunoshima ,27.4342,129.0055,町,とくのしま
,大和村,Yamato,28.2118,129.2315,村,やまと
,与論町,Yoron,27.0303,128.2459,町,よろん
,和泊町,Wadomari,27.2312,128.3902,町,わどまり
鹿児島市,,Kagoshima,31.355,130.3329,市,かごしま
鹿児島郡,,Kagoshima,31.4013,130.3544,郡,かごしま
,桜島町,Sakurajima ,31.3713,130.3944,町,さくらじま
,十島村,Toshima,30.0014,130.0644,村,としま
,三島村,Mishima ,31.0313,130.2744,村,みしま
,吉田町,Yoshida ,31.4213,130.3244,町,よしだ
加世田市,,Kaseda,31.2444,130.1933,市,かせだ
鹿屋市,,Kanoya ,31.2305,130.5128,市,かのや
川辺郡,,Kawanabe ,31.2113,130.1744,郡,かわなべ
,伊集院町,Ijyuin ,31.3736,130.2413,町,いじゅういん
,市来町,Ichiki ,31.4213,130.1944,町,いちき
,大浦町,Oura ,31.2313,130.1344,町,おおうら
,笠沙町,Kasasa,31.2446,130.1032,町,かささ
,川辺町,Kawanabe ,31.2352,130.2358,町,かわなべ
,金峰町,Kinpo,31.2713,130.2044,町,きんぽう
,郡山町,Koriyama ,31.4113,130.2844,町,こおりやま
,知覧町,Chiran ,31.223,130.2615,町,ちらん
,日置郡,Hioki ,31.3313,130.2544,郡,ひおき
,東市来町,Higashiichiki ,31.3913,130.2144,町,ひがしいちき
,日吉町,Hiyoshi ,31.3513,130.2044,町,ひよし
,吹上町,Fukiage ,31.3013,130.1944,町,ふきあげ
,坊津町,Bonotsu,31.1913,130.1344,町,ぼうのつ
,松元町,Matsumoto ,31.3551,130.2606,町,まつもと
肝属郡,,Kimotsuki,31.1713,130.5844,郡,きもつき
,吾平町,Aira ,31.1931,130.5359,町,あいら
,内之浦町,Uchinoura ,31.1647,131.0419,町,うちのうら
,大根占町,Onejime,31.1446,130.4725,町,おおねじめ
,串良町,Kushira,31.233,130.5733,町,くしら
,高山町,Koyama ,31.2041,130.5634,町,こうやま
,佐多町,Sata,31.0513,130.4144,町,さた
,田代町,Tashiro,31.1146,130.5049,町,たしろ
,根占町,Nejime,31.1249,130.46,町,ねじめ
,東串良町,Higashikushira ,31.2241,130.5831,町,ひがしくしら
串木野市,,Kushikino ,31.4238,130.1611,市,くしきの
熊毛郡,,Kumage ,30.3214,130.4244,郡,くまげ
,上屋久町,Kamiyaku ,30.2513,130.3412,町,かみやく
,中種子町,Nakatane ,30.3114,130.5745,町,なかたね
,南種子町,Minamitane ,30.2439,130.5309,町,みなみたね
,屋久町,Yaku,30.1414,130.3244,町,やく
国分市,,Kokubu ,31.4419,130.455,市,こくぶ
薩摩郡,,Satsuma ,31.5413,130.1544,郡,さつま
,入来町,Iriki ,31.4751,130.2539,町,いりき
,鹿島村,Kashima ,31.463,129.4719,村,かしま
,上甑村,Kamikoshiki ,31.4947,129.5219,村,かみこしき
,祁答院町,Kedoin,31.5213,130.2944,町,けどういん
,薩摩町,Satsuma ,31.5513,130.3244,町,さつま
,里村,Sato,31.5023,129.5504,村,さと
,下甑村,Shimokoshiki ,31.3813,129.4244,村,しもこしき
,鶴田町,Tsuruda ,31.5709,130.2856,町,つるだ
,東郷町,Togo ,31.5147,130.2024,町,とうごう
,樋脇町,Hiwaki ,31.4913,130.2344,町,ひわき
,宮之城町,Miyanojo,31.5401,130.2729,町,みやのじょう
川内市,,Sendai,31.4839,130.1756,市,せんだい
曽於郡,,So,31.3313,130.5844,郡,そお
,有明町,Ariake ,31.2916,131.0304,町,ありあけ
,大崎町,Osaki,31.2544,131.004,町,おおさき
,大隅町,Osumi,31.3539,130.5925,町,おおすみ
,輝北町,Kihoku ,31.3213,130.5145,町,きほく
,志布志町,Shibushi ,31.2837,131.0613,町,しぶし
,末吉町,Sueyoshi ,31.3913,131.0144,町,すえよし
,財部町,Takaranabe,31.4323,130.5941,町,たからべ
,松山町,Matsuyama ,31.3424,131.0235,町,まつやま
垂水市,,Tarumizu,31.3013,130.4244,市,たるみず
名瀬市,,Naze,28.2237,129.2928,市,なぜ
西之表市,,Nishinoomote,30.4352,131.0016,市,にしのおもて
枕崎市,,Makurazaki,31.1617,130.1745,市,まくらざき
