<SIZE>0
<LANG>JA,Children,EN,Latitude,Longitude,Type,Sound
<STATE>Yamanashi,19
塩山市,,Enzan,35.4219,138.4344,市,えんざん
大月市,,Otsuki,35.3638,138.5623,市,おおつき
北巨摩郡,,Kitakoma,35.5011,138.1347,郡,きたこま
,明野村,Akeno,35.4612,138.2624,村,あけの
,大泉村,Oizumi,35.5145,138.2316,村,おおいずみ
,小淵沢町,Kobuchizawa,35.5145,138.1906,町,こぶちざわ
,須玉町,Sutama,35.473,138.2518,町,すたま
,高根町,Takane,35.5015,138.2447,町,たかね
,長坂町,Nagasaka,35.4935,138.2159,町,ながさか
,白州町,Hakushu,35.4828,138.2006,町,はくしゅう
,双葉町,Futaba,35.4111,138.2911,町,ふたば
,武川村,Mukawa,35.4702,138.2255,村,むかわ
北都留郡,,Kitatsuru,35.4212,138.5547,郡,きたつる
,上野原町,Uenohara,35.3753,139.0632,町,うえのはら
,小菅村,Kosuge,35.4537,138.5623,村,こすげ
,丹波山村,Tabayama,35.4724,138.552,村,たばやま
甲府市,,Kofu,35.3945,138.3404,市,こうふ
都留市,,Tsuru,35.3304,138.5419,市,つる
中巨摩郡,,Nakakoma,35.4112,138.1947,郡,なかこま
,敷島町,Shikishima,35.4115,138.3138,町,しきしま
,昭和町,Showa,35.3741,138.3205,町,しょうわ
,田富町,Tatomi,35.3559,138.3101,町,たとみ
,玉穂町,Tamaho,35.3609,138.3237,町,たまほ
,竜王町,Ryuo,35.3939,138.3055,町,りゅうおう
西八代郡,,Nishiyatsushiro,35.3112,138.3347,郡,にしやつしろ
,市川大門町,Ichikawadaimon,35.3353,138.2959,町,いちかわだいもん
,上九一色村,Kamikuishiki,35.3151,138.3634,村,かみくいしき
,下部町,Shimobe,35.2647,138.2845,町,しもべ
,三珠町,Mitama,35.3354,138.3053,町,みたま
,六郷町,Rokugo,35.2945,138.2746,町,ろくごう
韮崎市,,Nirasaki,35.4233,138.2644,市,にらさき
東八代郡,,Higashiyatsushiro,35.3612,138.4347,郡,ひがしやつしろ
,芦川村,Ashigawa,35.3313,138.3953,村,あしがわ
,石和町,Isawa,35.385,138.3822,町,いさわ
,一宮町,Ichinomiya,35.3849,138.4129,町,いちのみや
,境川村,Sakaigawa,35.3523,138.3655,村,さかいがわ
,豊富村,Toyotomi,35.3419,138.3324,村,とよとみ
,中道町,Nakamichi,35.3521,138.3438,町,なかみち
,御坂町,Misaka,35.3731,138.3945,町,みさか
,八代町,Yatsushiro,35.3704,138.3828,町,やつしろ
東山梨郡,,Higasiyamanashi,35.4412,138.3947,郡,ひがしやまなし
,春日居町,Kasugai,35.4001,138.3915,町,かすがい
,勝沼町,Katsunuma,35.3956,138.4323,町,かつぬま
,牧丘町,Makioka,35.4421,138.425,町,まきおか
,三富村,Mitomi,35.4734,138.4418,村,みとみ
,大和村,Yamato,35.3819,138.4643,村,やまと
富士吉田市,,Fujiyoshida,35.2915,138.4827,市,ふじよしだ
南アルプス市,,Minamiarupusu,35.3828,138.2745,市,みなみあるぷす
南巨摩郡,,Minamikoma,35.3412,138.2247,郡,みなみこま
,鰍沢町,Kajikazawa,35.3248,138.2734,町,かじかざわ
,富沢町,Tomizawa,35.1432,138.2909,町,とみざわ
,中富町,Nakatomi,35.2803,138.2631,町,なかとみ
,南部町,Nanbu,35.1703,138.2743,町,なんぶ
,早川町,Hayakawa,35.2446,138.2146,町,はやかわ
,増穂町,Masuho,35.3341,138.2739,町,ますほ
,身延町,Minobu,35.2216,138.2634,町,みのぶ
南都留郡,,Minamitsuru,35.3112,138.5647,郡,みなみつる
,秋山村,Akiyama,35.3412,139.0442,村,あきやま
,忍野村,Oshino,35.2736,138.5051,村,おしの
,道志村,Doshi,35.3141,139.02,村,どうし
,鳴沢村,Narusawa,35.2853,138.4222,村,なるさわ
,西桂町,Nishikatsura,35.3127,138.5047,町,にしかつら
,富士河口湖町,Fujikawaguchiko,35.3005,138.4552,町,ふじかわぐちこ
,山中湖村,Yamanakako,35.2439,138.5139,村,やまなかこ
山梨市,,Yamanashi,35.4133,138.4106,市,やまなし
