<SIZE>4
<LANG>EN
<STATE>Liberecký Kraj,LI
Jablonec nad Nisou,50.7243,15.1711
Liberec,50.7671,15.0562
Semily,50.6019,15.3355
Česká Lípa,50.6855,14.5376
