<SIZE>6
<LANG>EN
<STATE>Moravskoslezský Kraj,MO
Bruntál,49.9884,17.4647
Frýdek-Místek,49.6833,18.35
Karviná,49.854,18.5417
Nový Jičín,49.5944,18.0103
Opava,49.9387,17.9026
Ostrava,49.8346,18.282
