<SIZE>5
<LANG>EN
<STATE>Královéhradecký Kraj,KR
Hradec Králové,50.2092,15.8328
Jičín,50.4372,15.3516
Náchod,50.4167,16.1629
Rychnov nad Kněžnou,50.1628,16.2749
Trutnov,50.561,15.9127
