<SIZE>13
<LANG>EN
<STATE>Donegal,DG
Ardara,54.7644,-8.4075
Ballybofey,54.8,-7.78333
Buncrana,55.1333,-7.45
Bundoran,54.4667,-8.28333
Moville,55.1833,-7.05
Ballyshannon,54.5,-8.18333
Carndonagh,55.25,-7.26667
Donegal,54.65,-8.11667
Lifford,54.8319,-7.48361
Letterkenny,54.95,-7.73333
Loughfad Hill,54.8158,-8.40667
Killybegs,54.6333,-8.45
Glenties,54.7975,-8.2825
