<SIZE>6
<LANG>EN
<STATE>County Offaly,OF
Banagher,53.1886,-7.98667
Birr,53.0914,-7.91333
Kilcormac,53.1742,-7.72556
Clara,53.3425,-7.61389
Edenderry,53.3453,-7.04972
Tullamore,53.2739,-7.48889
