<SIZE>9
<LANG>EN
<STATE>County Kerry,KR
Dingle,52.1408,-10.2689
Ballybunnion,52.5097,-9.67167
Cahersiveen,51.9486,-10.2222
Killarney,52.05,-9.51667
Killorglin,52.1,-9.78333
Listowel,52.4464,-9.485
Kenmare,51.8833,-9.58333
Castleisland,52.2333,-9.46667
Tralee,52.2667,-9.71667
