<SIZE>268
<LANG>EN
<STATE>Scotland,SC
Mallaig,57,-5.83333
Markinch,56.2,-3.13333
Mauchline,55.5167,-4.36667
Maybole,55.3333,-4.7
Mid Calder,55.8926,-3.48002
Milngavie,55.9333,-4.31667
Mintlaw,57.5167,-2
Moffat,55.3323,-3.44542
Montrose,56.7,-2.45
Motherwell,55.7833,-4
Musselburgh,55.9333,-3.05
Nairn,57.5833,-3.86667
Neilston,55.7857,-4.42637
New Cumnock,55.4,-4.18333
New Scone,56.4167,-3.4
Newarthill,55.8,-3.93333
Newmains,55.7667,-3.88333
Newmilns,55.6,-4.31667
Newport-On-Tay,56.4391,-2.9367
Newton Mearns,55.7667,-4.33333
Newton Stewart,54.9667,-4.48333
Newtonhill,57.0333,-2.15
North Berwick,56.0667,-2.71667
Oakley,56.0667,-3.55
Oban,56.4167,-5.46667
Old Kilpatrick,55.9167,-4.45
Oldmeldrum,57.3167,-2.31667
Ormiston,55.9,-2.93333
Overtown,55.75,-3.91667
Paisley,55.8333,-4.43333
Patna,55.35,-4.5
Peebles,55.6333,-3.18333
Penicuik,55.8317,-3.22423
Perth,56.4,-3.43333
Peterhead,57.5,-1.78333
Pitlochry,56.7,-3.71667
Polmont,55.9833,-3.7
Port Glasgow,55.9333,-4.7
Portlethen,57.0547,-2.13066
Portree,57.4,-6.2
Prestonpans,55.9333,-2.96667
Prestwick,55.4833,-4.61667
Queensferry,55.9833,-3.4
Renfrew,55.8667,-4.36667
Renton,55.9667,-4.58333
Rosyth,56.0333,-3.43333
Rothesay,55.8365,-5.05508
St Andrews,56.3333,-2.78333
Saltcoats,55.6167,-4.8
Selkirk,55.5333,-2.85
Stepps,55.8833,-4.15
Stevenston,55.6333,-4.76667
Stewarton,55.6667,-4.5
Stirling,56.1167,-3.95
Stonehaven,56.9636,-2.21177
Stonehouse,55.6667,-3.98333
Stornoway,58.2167,-6.36667
Stranraer,54.9,-5.03333
Strathaven,55.6667,-4.06667
Tain,57.8,-4.06667
Tayport,56.45,-2.88333
Thurso,58.6,-3.5
Tillicoultry,56.15,-3.75
Tobermory,56.6333,-6.08333
Tranent,55.9333,-2.95
Troon,55.5333,-4.66667
Turriff,57.5333,-2.45
Uddingston,55.8,-4.06667
Ullapool,57.9,-5.16667
Wemyss Bay,55.8833,-4.9
West Calder,55.8333,-3.56667
West Kilbride,55.6833,-4.85
Whitburn,55.8667,-3.68333
Whithorn,54.7333,-4.41667
Wick,58.4333,-3.08333
Wishaw,55.7667,-3.91667
