<SIZE>12
<LANG>EN
<STATE>Viseu,VS
Abraveses,40.6667,-7.91667
Campo,40.7,-7.91667
Castro Daire,40.9,-7.93333
Lamego,41.1,-7.81667
Mangualde,40.6,-7.76667
Nelas,40.5333,-7.85
Rio de Loba,40.6667,-7.88333
Sete Fontes,40.9,-8.05
Sátão,40.7333,-7.73333
São Pedro do Sul,40.75,-8.06667
Tondela,40.5167,-8.08333
Viseu,40.65,-7.91667
