<SIZE>11
<LANG>EN
<STATE>Montana,MT
Berkovitsa,43.2361,23.1258
Boychinovtsi,43.4722,23.3358
Brusartsi,43.6667,23.0667
Chiprovtsi,43.3842,22.8808
Georgi-Damyanovo,43.3861,23.0306
Lom,43.8139,23.2361
Medkovets,43.6297,23.1811
Montana,43.4125,23.225
Vŭlchedrŭm,43.6964,23.4447
Vŭrshets,43.1953,23.2861
Yakimovo,43.6431,23.3678
