<SIZE>16
<LANG>EN
<STATE>Blagoevgrad,BL
Bansko,41.8383,23.4885
Belitsa,41.9569,23.5725
Blagoevgrad,42.0167,23.1
Gotse Delchev,41.5667,23.7333
Gŭrmen,41.6,23.8167
Khadzhidimovo,41.5222,23.8686
Kresna,41.7333,23.15
Melnik,41.5167,23.4
Petrich,41.4,23.2167
Razlog,41.8903,23.4792
Sandanski,41.5667,23.2833
Satovcha,41.6167,23.9833
Simitli,41.8833,23.1167
Stara Kresna,41.8,23.1833
Strumyani,41.6333,23.2
Yakoruda,42.0253,23.6842
