<SIZE>5
<LANG>EN
<STATE>Sliven,SL
Kermen,42.5,26.25
Kotel,42.8833,26.45
Nova Zagora,42.4833,26.0167
Sliven,42.6858,26.3292
Tvŭrditsa,42.7,25.9
