<SIZE>12
<LANG>EN
<STATE>Vidin,VD
Belogradchik,43.6272,22.6836
Boynitsa,43.955,22.5317
Bregovo,44.1517,22.6425
Chuprene,43.5181,22.6661
Dimovo,43.7417,22.7269
Dunavtsi,43.9211,22.8211
Gramada,43.8344,22.6586
Kula,43.8878,22.5214
Makresh,43.7681,22.6639
Novo Selo,44.1586,22.7867
Ruzhintsi,43.6233,22.8308
Vidin,43.99,22.8725
