<SIZE>14
<LANG>EN
<STATE>Saaremaa,SA
Aste,58.3436,22.4589
Karja,58.5208,22.7044
Kihelkonna,58.3522,22.0469
Kudjape,58.2553,22.5492
Kuressaare,58.2481,22.5039
Kärla,58.3358,22.2597
Kõljala,58.3664,22.69
Leisi,58.5706,22.6969
Mustjala,58.4614,22.2417
Nasva,58.2294,22.385
Orissaare,58.5597,23.0931
Pärsama,58.5039,22.7553
Salme,58.1614,22.2622
Valjala,58.4061,22.8011
