<SIZE>10
<LANG>EN
<STATE>Kozáni,KZ
Eláti,39.9758,21.8189
Kastaniá,40.17,22.0189
Kozani,40.3011,21.7864
Platanórrevma,40.1967,22.0206
Polýmylos,40.3633,22.0619
Ptolemaida,40.5147,21.6786
Siátista,40.2619,21.5442
Sérvia,40.1797,21.9944
Velventós,40.2517,22.0631
Voskochórion,40.3764,22.0033
