<SIZE>18
<LANG>EN
<STATE>Västra Götaland,VG
Alingsås,57.9317,12.5461
Borås,57.7167,12.9167
Falköping,58.1667,13.55
Gothenburg,57.7167,11.9667
Hällesås,57.5614,11.9993
Kinna,57.5,12.6833
Kungälv,57.8667,11.9667
Lerum,57.7667,12.2667
Lidköping,58.5,13.1667
Lindome,57.5667,12.0833
Mariestad,58.7,13.8167
Mölnlycke,57.65,12.1333
Skara,58.3667,13.4167
Skövde,58.4,13.85
Svaneholm,57.6167,12.8167
Trollhättan,58.2667,12.3
Uddevalla,58.3667,11.9333
Vänersborg,58.3807,12.3234
