<SIZE>13
<LANG>EN
<STATE>Kalmar Län,KA
Algutsrum,56.6833,16.5167
Arontorp,56.65,16.5333
Degerhamn,56.35,16.4
Färjestaden,56.65,16.45
Gårdby,56.6,16.6333
Kalmar,56.6667,16.3667
Kastlösa,56.4667,16.4333
Mörbylånga,56.5167,16.3833
Nybro,56.75,15.9
Oskarshamn,57.2667,16.4333
Skogsby,56.6333,16.5
Vickleby,56.5792,16.4594
Västervik Municipality,57.75,16.6333
