<SIZE>7
<LANG>EN
<STATE>Hallands Län,HA
Falkenberg Municipality,56.8981,12.5019
Fjärås station,57.4363,12.1554
Halmstad,56.6714,12.8556
Kungsbacka,57.4872,12.0761
Rygga,57.4703,12.2265
Varberg,57.1,12.25
Öjersbo,57.5802,12.2565
