<SIZE>12
<LANG>EN
<STATE>New Brunswick,NB
Bouctouche,46.5,-64.7
Fredericton,45.9,-66.7
Hampton,45.5,-65.9
Moncton,46.1,-64.8
Nackawic,46,-67.2
Oromocto,45.8,-66.5
Richibucto,46.7,-64.9
Saint Andrews,45.1,-67.1
Saint John,45.3,-66
Salisbury,46,-65
Shediac,46.2,-64.5
Sussex,45.7,-65.5
