<SIZE>306
<LANG>EN
<STATE>DK,DK
Skovby,56.15,9.95
Skælskør,55.25,11.3167
Skærbæk,55.15,8.76667
Skørping,56.8333,9.88333
Slagelse,55.4,11.3667
Slangerup,55.85,12.1833
Smørumnedre,55.7333,12.3
Snejbjerg,56.1333,8.91667
Snoghøj,55.5167,9.71667
Solbjerg,56.05,10.0833
Solrød,55.5333,12.1833
Sorø,55.4333,11.5667
Spentrup,56.55,10.0333
Starup,55.2333,9.53333
Stavnsholt,55.8167,12.4167
Stavtrup,56.1333,10.1167
Stege,54.9833,12.3
Stenlille,55.5333,11.6
Stenløse,55.7667,12.2
Stige,55.4333,10.4167
Stilling,56.0667,10
Stoholm,56.4833,9.16667
Store Heddinge,55.3167,12.4167
Storvorde,57,10.1
Strandby,57.5,10.5
Strib,55.5333,9.78333
Struer,56.4833,8.61667
Strøby Egede,55.4167,12.25
Stubbekøbing,54.8833,12.05
Støvring,56.8833,9.85
Sundby,54.85,11.7833
Sunds,56.2,9.01667
Svebølle,55.65,11.3
Svejbæk,56.1333,9.63333
Svendborg,55.05,10.6167
Svenstrup,56.9833,9.86667
Svinninge,55.7167,11.4667
Svogerslev,55.6333,12.0167
Sæby,57.3333,10.5333
Søften,56.2333,10.1
Sønder Bjert,55.45,9.56667
Sønderborg,54.9167,9.78333
Søndersø,55.4833,10.2667
Tarm,55.9167,8.53333
Taulov,55.55,9.61667
Thisted,56.95,8.7
Thurø By,55.05,10.6667
Thyborøn,56.7,8.21667
Tinglev,54.9333,9.25
Tjæreborg,55.4667,8.58333
Toftlund,55.1833,9.06667
Tommerup,55.3167,10.2167
Tranbjerg,56.1,10.15
Trige,56.25,10.1667
Trørød,55.8333,12.55
Tune,55.6,12.1833
Tårs,57.3833,10.1167
Tåstrup,55.6517,12.2922
Tølløse,55.6167,11.75
Tønder,54.9333,8.9
Tørring,55.85,9.48333
Ulfborg,56.2667,8.33333
Ullerslev,55.3667,10.6667
Ulstrup,56.4,9.8
Vadum,57.1167,9.86667
Vamdrup,55.4167,9.28333
Varde,55.6333,8.48333
Vejen,55.4833,9.15
Vejle,55.7,9.53333
Veksø,55.75,12.25
Vestbjerg,57.1333,9.98333
Vester Hassing,57.0667,10.1333
Viby,55.55,12.0333
Videbæk,56.0833,8.63333
Vildbjerg,56.2,8.76667
Vindeby,55.05,10.6333
Vinderup,56.4833,8.78333
Vindinge,55.6333,12.15
Vipperød,55.6667,11.75
Virklund,56.1167,9.56667
Vissenbjerg,55.3833,10.1333
Vodskov,57.1,10.0333
Vojens,55.25,9.31667
Vordingborg,55.0167,11.9167
Vrå,57.35,9.95
Værløse,55.7833,12.3833
Aabenraa,55.0333,9.43333
Aabybro,57.15,9.75
Åkirkeby,55.0667,14.9333
Aalborg,57.05,9.93333
Ålestrup,56.7,9.5
Aarhus,56.15,10.2167
Aars,56.8,9.53333
Årslev,55.3,10.4833
Årup,55.3833,10.0667
Ølgod,55.8167,8.61667
Ølstykke,55.7833,12.1833
Ørslev,55.0333,11.9833
